instnm,Institution (entity) name (HD2018),Street address or post office box (HD2018),City location of institution (HD2018),Longitude location of institution (HD2018),Latitude location of institution (HD2018),Percent of undergraduate students awarded federal  state  local  institutional or other sources of grant aid (SFA1718),Average net price-students awarded grant or scholarship aid  2017-18 (SFA1718),Applicants total (ADM2018),Admissions total (ADM2018),SAT Evidence-Based Reading and Writing 25th percentile score (ADM2018),SAT Evidence-Based Reading and Writing 75th percentile score (ADM2018),SAT Math 25th percentile score (ADM2018),SAT Math 75th percentile score (ADM2018),ACT Composite 25th percentile score (ADM2018),ACT Composite 75th percentile score (ADM2018),Student-to-faculty ratio (EF2018D),
The University of Texas System Office,The University of Texas System Office,210 W. 7th St,Austin,-97.744284,30.269742,,,,,,,,,,,,
The University of the Arts,The University of the Arts,320 South Broad St,Philadelphia,-75.165888,39.946017,98,39387,1643,1235,,,,,,,8,
The University of the South,The University of the South,735 University Avenue,Sewanee,-85.920179,35.204719,87,34564,3465,2258,,,,,,,10,
The University of Virginia's College at Wise,The University of Virginia's College at Wise,1 College Avenue,Wise,-82.559656,36.970602,57,,828,641,490,580,460,550,18,25,11,
The University of West Florida,The University of West Florida,11000 University Parkway,Pensacola,-87.218511,30.549076,62,,5707,2421,550,640,530,610,22,27,21,
The Vocational Nursing Institute Inc,The Vocational Nursing Institute Inc,11201 Steeple Park Drive,Houston,-95.587085,29.903883,38,45640,,,,,,,,,11,
The Workforce Institute's City College,The Workforce Institute's City College,4322 N. 5th Street,Philadelphia,-75.135042,40.017493,70,8906,8,4,,,,,,,7,
The Wright Institute,The Wright Institute,2728 Durant Ave,Berkeley,-122.253168,37.868221,,,,,,,,,,,,
Theatre of Arts,Theatre of Arts,6767 sunset Blvd suite 210,Hollywood,-118.327933,34.101218,65,25117,68,22,,,,,,,3,
Theological Seminary of the Reformed Episcopal Church,Theological Seminary of the Reformed Episcopal Church,826 Second Avenue,Blue Bell,-75.290124,40.168935,,,,,,,,,,,,
Thiel College,Thiel College,75 College Ave,Greenville,-80.384383,41.413540,84,24031,1820,1385,440,540,420,560,15,20,11,
Thomas Aquinas College,Thomas Aquinas College,10 000 Ojai Road,Santa Paula,-119.087141,34.429009,62,20746,211,164,630,720,590,680,25,30,11,
Thomas College,Thomas College,180 W River Rd,Waterville,-69.664734,44.524909,47,21526,,,,,,,,,23,
Thomas Edison State University,Thomas Edison State University,111 W State St,Trenton,-74.768562,40.220487,17,,,,,,,,,,15,
Thomas Jefferson School of Law,Thomas Jefferson School of Law,1155 Island Avenue,San Diego,-117.154191,32.710140,,,,,,,,,,,,
Thomas Jefferson University,Thomas Jefferson University,1020 Walnut Street,Philadelphia,-75.158266,39.948274,79,27846,4522,2635,540,620,520,620,22,28,12,
Thomas More College,Thomas More College,333 Thomas More Parkway,Crestview Hills,-84.568923,39.022963,67,18517,2698,2429,470,570,490,550,19,24,16,
Thomas More College of Liberal Arts,Thomas More College of Liberal Arts,6 Manchester St,Merrimack,-71.484370,42.806830,97,16909,111,56,620,680,510,550,,,9,
Thomas Nelson Community College,Thomas Nelson Community College,99 Thomas Nelson Drive,Hampton,-76.420046,37.063821,48,,,,,,,,,,18,
Thomas University,Thomas University,1501 Millpond Rd,Thomasville,-83.963587,30.815576,60,17420,391,187,,,,,,,10,
Three Rivers College,Three Rivers College,2080 Three Rivers Blvd,Poplar Bluff,-90.429769,36.776571,67,,,,,,,,,,19,
Three Rivers Community College,Three Rivers Community College,574 New London Turnpike,Norwich,-72.103039,41.509945,57,,,,,,,,,,16,
Three Rivers Community College - Corrigan-Radgowski Correctional Cente,Three Rivers Community College - Corrigan-Radgowski Correctional Cente,986 Norwich-New London Turnpike,Uncasville,-72.110340,41.452711,,,,,,,,,,,,
Three Rivers Community College - York Correctional Institution,Three Rivers Community College - York Correctional Institution,201 West Main Street,Niantic,-72.235894,41.322272,,,,,,,,,,,,
Thunderbird School of Global Management,Thunderbird School of Global Management,1 Global Place,Glendale,-112.180861,33.620887,,,,,,,,,,,,
Tidewater Community College,Tidewater Community College,121 College Place,Norfolk,-76.289904,36.850100,51,,,,,,,,,,20,
Tidewater Tech-Trades,Tidewater Tech-Trades,5301 E Princess Anne Rd,Norfolk,-76.219928,36.872067,61,16941,,,,,,,,,15,
Tiffin Academy of Hair Design,Tiffin Academy of Hair Design,104 E Market St,Tiffin,-83.175814,41.114497,81,9212,,,,,,,,,9,
Tiffin University,Tiffin University,155 Miami Street,Tiffin,-83.184197,41.118316,75,20474,3977,2753,,,,,,,15,
Tillamook Bay Community College,Tillamook Bay Community College,4301 Third St.,Tillamook,-123.813624,45.456603,67,,,,,,,,,,9,
Tint School of Makeup & Cosmetology-Seattle,Tint School of Makeup & Cosmetology-Seattle,300 Pine Street,Seattle,-122.338591,47.611490,56,9199,,,,,,,,,10,
Tint School of Makeup and Cosmetology-Dallas,Tint School of Makeup and Cosmetology-Dallas,311 A E Pioneer Pkwy Hwy 303,Grand Prairie,-97.001678,32.708337,63,12094,,,,,,,,,14,
Tint School of Makeup and Cosmetology-Irving,Tint School of Makeup and Cosmetology-Irving,2716 W. Irving Blvd,Irving,-96.983082,32.829511,71,9147,,,,,,,,,14,
Toccoa Falls College,Toccoa Falls College,107 Kincaid Drive,Toccoa Falls,-83.357617,34.593414,58,21934,939,566,490,600,470,560,19,24,14,
Tohono O'Odham Community College,Tohono O'Odham Community College,Highway 86  Mile Post 125.5,Sells,-111.715445,31.989869,33,,,,,,,,,,9,
Toledo Academy of Beauty Culture-East,Toledo Academy of Beauty Culture-East,3341 NAVARRE AVE.,OREGON,-83.469064,41.638647,71,13056,,,,,,,,,25,
Toledo Public Schools Adult and Continuing Education,Toledo Public Schools Adult and Continuing Education,3281 UPTON AVENUE,Toledo,-83.590926,41.682287,95,,,,,,,,,,12,
Tom P Haney Technical Center,Tom P Haney Technical Center,3016 Hwy 77 N,Panama City,-85.646585,30.203363,71,,,,,,,,,,17,
Tomorrow's Image Barber And Beauty Academy of Virginia,Tomorrow's Image Barber And Beauty Academy of Virginia,490 Suite F Denbigh Boulevard,Newport News,-76.529229,37.133072,89,12306,,,,,,,,,6,
Tompkins Cortland Community College,Tompkins Cortland Community College,170 North St,Dryden,-76.287586,42.502006,74,,,,,,,,,,15,
Toni & Guy Hairdressing Academy-Albuquerque,Toni & Guy Hairdressing Academy-Albuquerque,2201 Uptown Loop Rd NE  Ste F,Albuquerque,-106.566537,35.102306,63,17742,,,,,,,,,18,
Toni & Guy Hairdressing Academy-Atlanta,Toni & Guy Hairdressing Academy-Atlanta,1355 Roswell Rd  Suite 150,Marietta,-84.514070,33.952158,59,15304,,,,,,,,,14,
Toni & Guy Hairdressing Academy-Colorado Springs,Toni & Guy Hairdressing Academy-Colorado Springs,5125 North Academy Blvd.,Colorado Springs,-104.777572,38.905898,50,17167,,,,,,,,,25,
Toni & Guy Hairdressing Academy-Cranston,Toni & Guy Hairdressing Academy-Cranston,1400 Oaklawn Ave,Cranston,-71.479109,41.731937,57,19503,,,,,,,,,20,
Toni & Guy Hairdressing Academy-Idaho,Toni & Guy Hairdressing Academy-Idaho,410 W Neider Ave Suite B,Coeur D'Alene,-116.793653,47.705940,67,7174,,,,,,,,,13,
Toni & Guy Hairdressing Academy-Jacksonville,Toni & Guy Hairdressing Academy-Jacksonville,8206 Philips Hwy. Suite 33,Jacksonville,-81.586761,30.219600,,,,,,,,,,,,
Toni & Guy Hairdressing Academy-Manteca,Toni & Guy Hairdressing Academy-Manteca,1019 South Main Street,Manteca,-121.217294,37.788771,62,10939,,,,,,,,,,
Toni & Guy Hairdressing Academy-Modesto,Toni & Guy Hairdressing Academy-Modesto,2425 McHenry Ave Suite A,Modesto,-120.995442,37.677278,75,13056,,,,,,,,,,
Toni & Guy Hairdressing Academy-Plano,Toni & Guy Hairdressing Academy-Plano,1921 Preston Road #2022,Plano,-96.797544,33.026159,50,16482,,,,,,,,,15,
Toni & Guy Hairdressing Academy-Rio Rancho,Toni & Guy Hairdressing Academy-Rio Rancho,1001 Golf Course Road #104 & #105,Rio Rancho,-106.677601,35.241061,57,12698,,,,,,,,,12,
Toni & Guy Hairdressing Academy-Santa Monica,Toni & Guy Hairdressing Academy-Santa Monica,1358 5th St,Santa Monica,-118.494755,34.017276,57,16732,,,,,,,,,12,
Toni & Guy Hairdressing Academy-Shoreline,Toni & Guy Hairdressing Academy-Shoreline,18336 Aurora Ave. North Suite 103,Shoreline,-122.344548,47.761696,45,17271,,,,,,,,,10,
Toni & Guy Hairdressing Academy-Worcester,Toni & Guy Hairdressing Academy-Worcester,6 Park Avenue,Worcester,-71.808255,42.284822,56,23203,,,,,,,,,17,
Tooele Technical College,Tooele Technical College,88 South Tooele Blvd.,Tooele,-112.325714,40.527752,54,,,,,,,,,,13,
Top Nails & Hair Beauty School,Top Nails & Hair Beauty School,1735 West 5400 South,Taylorsville,-111.940452,40.652683,16,4837,,,,,,,,,5,
Top of the Line Barber College,Top of the Line Barber College,1904 Savannah Highway  Unit 101  102  201,Charleston,-80.022755,32.788680,70,11648,,,,,,,,,3,
Torah Temimah Talmudical Seminary,Torah Temimah Talmudical Seminary,507 Ocean Parkway,Brooklyn,-73.972108,40.636018,67,12712,5,4,,,,,,,2,
Total Image Beauty Academy,Total Image Beauty Academy,3900 Bergenline ave 2nd Floor,Union City,-74.026091,40.775780,94,12203,,,,,,,,,20,
Total Transformation Institute of Cosmetology,Total Transformation Institute of Cosmetology,907 Highway 80,San Marcos,-97.920002,29.882696,11,14326,,,,,,,,,11,
Totally Cosmo School of Modern Cosmetology,Totally Cosmo School of Modern Cosmetology,110 N Broadway,Broken Bow,-94.738026,34.027834,53,9597,,,,,,,,,7,
Tougaloo College,Tougaloo College,500 W County Line Rd,Tougaloo,-90.160760,32.403014,98,11796,1934,1769,410,550,380,550,16,23,11,
Touro College,Touro College,500 7th Avenue,New York,-73.989404,40.753199,78,19643,1928,1360,,,,,,,13,
Touro University California,Touro University California,1310 Club Drive,Vallejo,-122.263949,38.085479,,,,,,,,,,,,
Touro University Nevada,Touro University Nevada,874 American Pacific Drive,Henderson,-115.024012,36.043189,39,,,,,,,,,,9,
Touro University Worldwide,Touro University Worldwide,10601 Calle Lee  #179,Los Alamitos,-118.057754,33.808683,92,19045,,,,,,,,,9,
Towson University,Towson University,8000 York Rd,Towson,-76.611164,39.393622,50,,11933,9427,540,610,520,590,20,25,17,
Toyota Technological Institute at Chicago,Toyota Technological Institute at Chicago,6045 S. Kenwood Avenue,Chicago,-87.592682,41.784721,,,,,,,,,,,,
Transformed Barber and Cosmetology Academy,Transformed Barber and Cosmetology Academy,1229 E. 63rd Street,Kansas City,-94.572912,39.012818,77,21964,,,,,,,,,8,
Transitions Career Institute School of Nursing,Transitions Career Institute School of Nursing,30-50 Whitestone Expressway,Flushing,-73.836391,40.770561,1,20487,,,,,,,,,8,
Transylvania University,Transylvania University,300 N Broadway,Lexington,-84.493202,38.052983,99,26125,1662,1476,560,640,540,670,24,30,11,
Travel Institute of the Pacific,Travel Institute of the Pacific,1314 S King St Ste 1164,Honolulu,-157.841340,21.299035,62,24279,,,,,,,,,8,
Traviss Technical College,Traviss Technical College,3225 Winter Lake Rd,Lakeland,-81.892381,27.995822,42,,,,,,,,,,6,
Traxlers School of Hair,Traxlers School of Hair,2845 Suncrest Dr,Jackson,-90.261863,32.268023,62,9153,,,,,,,,,15,
Treasure Coast Technical College,Treasure Coast Technical College,4680 28th Court,Vero Beach,-80.413849,27.678049,63,,,,,,,,,,9,
Treasure Valley Community College,Treasure Valley Community College,650 College Blvd,Ontario,-116.974487,44.020811,63,,,,,,,,,,14,
Trend Barber College,Trend Barber College,8250 W Bellfort,Houston,-95.522116,29.656210,56,11115,,,,,,,,,11,
Trend Barber College,Trend Barber College,16950 Ella Boulvard Suite 330,Houston,-95.449186,30.013484,50,9433,,,,,,,,,15,
Trend Setters' Academy of Beauty Culture-Elizabethtown,Trend Setters' Academy of Beauty Culture-Elizabethtown,622 B Westport Rd,Elizabethtown,-85.882526,37.703008,60,19608,,,,,,,,,20,
Trend Setters' Academy of Beauty Culture-Louisville,Trend Setters' Academy of Beauty Culture-Louisville,7283 Dixie Hwy,Louisville,-85.838494,38.144782,52,16690,,,,,,,,,20,
Trend Setters' Academy of Beauty Culture-Louisville,Trend Setters' Academy of Beauty Culture-Louisville,8111 Preston Highway,Louisville,-85.684423,38.134972,48,16991,,,,,,,,,20,
Trendsetters School of Beauty & Barbering,Trendsetters School of Beauty & Barbering,1033 Edgewood Ave South,Jacksonville,-81.717211,30.311940,67,16135,,,,,,,,,8,
Trenz Beauty Academy,Trenz Beauty Academy,695 Wentworth Avenue,Calumet City,-87.529507,41.615676,41,11042,,,,,,,,,16,
Trevecca Nazarene University,Trevecca Nazarene University,333 Murfreesboro Rd,Nashville,-86.754238,36.141324,78,18996,1671,1070,520,630,490,610,19,25,20,
Tri County Regional Vocational Technical High School,Tri County Regional Vocational Technical High School,147 Pond St,Franklin,-71.421577,42.094957,31,,,,,,,,,,9,
Tri-Community Adult Education,Tri-Community Adult Education,231 Stephanie Drive,Covina,-117.887096,34.104391,22,,,,,,,,,,15,
Tri-County Adult Career Center,Tri-County Adult Career Center,15676 St Rt 691,Nelsonville,-82.210554,39.433202,59,,,,,,,,,,11,
Tri-County Beauty Academy,Tri-County Beauty Academy,219 N State St,LITCHFIELD,-89.655742,39.176137,50,12831,,,,,,,,,8,
Tri-County Community College,Tri-County Community College,21 Campus Circle,Murphy,-83.966476,35.067021,38,,,,,,,,,,16,
Tri-County Technical College,Tri-County Technical College,7900 U.S. Hwy 76,Pendleton,-82.792015,34.641914,78,,,,,,,,,,19,
Tri-Rivers Career Center,Tri-Rivers Career Center,2222 Marion - Mt. Gilead Rd,Marion,-83.069824,40.583077,61,,,,,,,,,,10,
Tri-State Barber College,Tri-State Barber College,2132 Winchester Avenue,Ashland,-82.633351,38.475150,27,4013,,,,,,,,,20,
Tri-State Bible College,Tri-State Bible College,506 Margaret St,South Point,-82.579887,38.426238,66,,,,,,,,,,2,
Tri-State College of Acupuncture,Tri-State College of Acupuncture,80 Eighth Ave Rm 400,New York,-74.002085,40.739862,,,,,,,,,,,,
Tri-State Cosmetology Institute,Tri-State Cosmetology Institute,1120 Vista de Oro,El Paso,-106.337200,31.749969,77,10455,,,,,,,,,14,
Tri-State Institute of Hair Design,Tri-State Institute of Hair Design,195 Commercial Drive  Suite 100,London,-84.065871,37.102754,,,,,,,,,,,,
Triangle Tech Inc-Bethlehem,Triangle Tech Inc-Bethlehem,3184 Airport Road,Bethlehem,-75.428281,40.654450,80,20072,,,,,,,,,10,
Triangle Tech Inc-Dubois,Triangle Tech Inc-Dubois,225 Tannery Row Road,Falls Creek,-78.795923,41.147974,90,19477,,,,,,,,,10,
Triangle Tech Inc-Erie,Triangle Tech Inc-Erie,2000 Liberty Street,Erie,-80.094042,42.110339,90,16543,,,,,,,,,5,
Triangle Tech Inc-Greensburg,Triangle Tech Inc-Greensburg,222 E Pittsburgh St Ste A,Greensburg,-79.539468,40.303168,84,14715,,,,,,,,,8,
Triangle Tech Inc-Pittsburgh,Triangle Tech Inc-Pittsburgh,1940 Perrysville Avenue,Pittsburgh,-80.012781,40.462003,94,19006,,,,,,,,,9,
Triangle Tech Inc-Sunbury,Triangle Tech Inc-Sunbury,191 Performance Road,Sunbury,-76.765478,40.855276,93,18897,,,,,,,,,7,
Tricoci University of Beauty Culture-Bridgeview,Tricoci University of Beauty Culture-Bridgeview,7350 W 87th St,Bridgeview,-87.803090,41.734829,74,16230,,,,,,,,,11,
Tricoci University of Beauty Culture-Chicago NE,Tricoci University of Beauty Culture-Chicago NE,6458 North Sheridan Road,Chicago,-87.660911,41.999802,75,14815,,,,,,,,,10,
Tricoci University of Beauty Culture-Chicago NW,Tricoci University of Beauty Culture-Chicago NW,5321 N Harlem Ave,Chicago,-87.806767,41.977660,68,15786,,,,,,,,,9,
Tricoci University of Beauty Culture-Danville,Tricoci University of Beauty Culture-Danville,2500 Georgetown Rd,Danville,-87.636314,40.075809,74,15325,,,,,,,,,8,
Tricoci University of Beauty Culture-Elgin,Tricoci University of Beauty Culture-Elgin,264 South Randall Road,Elgin,-88.341498,42.026819,52,16213,,,,,,,,,6,
Tricoci University of Beauty Culture-Glendale Heights,Tricoci University of Beauty Culture-Glendale Heights,530 E North Ave,Glendale Heights,-88.065213,41.904670,57,16009,,,,,,,,,5,
Tricoci University of Beauty Culture-Highland,Tricoci University of Beauty Culture-Highland,2549 Highway Ave,Highland,-87.467018,41.555885,69,15916,,,,,,,,,9,
Tricoci University of Beauty Culture-Indianapolis,Tricoci University of Beauty Culture-Indianapolis,9725 Crosspoint Commons,Indianapolis,-86.031130,39.928723,70,13878,,,,,,,,,7,
Tricoci University of Beauty Culture-Janesville,Tricoci University of Beauty Culture-Janesville,2310 W. Court Street,Janesville,-89.048950,42.679712,69,11582,,,,,,,,,8,
Tricoci University of Beauty Culture-Lafayette,Tricoci University of Beauty Culture-Lafayette,833 Ferry Street,Lafayette,-86.887007,40.419818,73,15017,,,,,,,,,10,
Tricoci University of Beauty Culture-Libertyville,Tricoci University of Beauty Culture-Libertyville,751 E Park Ave,Libertyville,-87.942702,42.281670,64,15132,,,,,,,,,8,
Tricoci University of Beauty Culture-Peoria,Tricoci University of Beauty Culture-Peoria,602 W Glen Ave,Peoria,-89.601356,40.746311,67,16565,,,,,,,,,8,
Tricoci University of Beauty Culture-Rockford,Tricoci University of Beauty Culture-Rockford,5485 E State St,Rockford,-89.009435,42.263898,71,13760,,,,,,,,,14,
Tricoci University of Beauty Culture-Urbana,Tricoci University of Beauty Culture-Urbana,202 East University Street  Suite H  I & J,Urbana,-88.205988,40.117729,74,15402,,,,,,,,,10,
Tricoci University of Beauty Cuture LLC-Bloomington,Tricoci University of Beauty Cuture LLC-Bloomington,1681 N. College Ave,Bloomington,-86.536403,39.181606,73,15047,,,,,,,,,12,
Trident Technical College,Trident Technical College,7000 Rivers Avenue,Charleston,-80.031276,32.928767,74,,,,,,,,,,20,
Trident University International,Trident University International,5757 Plaza Drive  Suite 100,Cypress,-118.032177,33.805950,92,13400,232,159,,,,,,,16,
Trine University,Trine University,1 University Ave,Angola,-85.008009,41.632502,44,24973,3993,2931,500,610,510,620,21,27,15,
